--- StartTestVectorGpuSum Report ---
VectorGpu._size = 1000000
blocksNum; threadsNum; Status; Result; Time_mks
5; 11; 1; 1000; 1279
5; 12; 1; 1000; 1316
5; 13; 1; 1000; 1192
5; 14; 1; 1000; 1095
5; 15; 1; 1000; 1129
5; 16; 1; 1000; 1057
5; 17; 1; 1000; 952
5; 18; 1; 1000; 946
5; 19; 1; 1000; 974
5; 20; 1; 1000; 1030
6; 1; 1; 1000; 8028
6; 2; 1; 1000; 4145
6; 3; 1; 1000; 2798
6; 4; 1; 1000; 2145
6; 5; 1; 1000; 1806
6; 6; 1; 1000; 1593
6; 7; 1; 1000; 1477
6; 8; 1; 1000; 1501
6; 9; 1; 1000; 1467
6; 10; 1; 1000; 1230
6; 11; 1; 1000; 1043
6; 12; 1; 1000; 989
6; 13; 1; 1000; 934
6; 14; 1; 1000; 912
6; 15; 1; 1000; 894
6; 16; 1; 1000; 922
6; 17; 1; 1000; 879
6; 18; 1; 1000; 884
6; 19; 1; 1000; 854
6; 20; 1; 1000; 938
7; 1; 1; 1000; 6956
7; 2; 1; 1000; 3543
7; 3; 1; 1000; 2378
7; 4; 1; 1000; 1896
7; 5; 1; 1000; 2175
7; 6; 1; 1000; 1524
7; 7; 1; 1000; 1764
7; 8; 1; 1000; 1303
7; 9; 1; 1000; 1013
7; 10; 1; 1000; 981
7; 11; 1; 1000; 919
7; 12; 1; 1000; 852
7; 13; 1; 1000; 880
7; 14; 1; 1000; 841
7; 15; 1; 1000; 812
7; 16; 1; 1000; 831
7; 17; 1; 1000; 972
7; 18; 1; 1000; 1217
7; 19; 1; 1000; 927
7; 20; 1; 1000; 906
8; 1; 1; 1000; 7189
8; 2; 1; 1000; 3100
8; 3; 1; 1000; 2202
8; 4; 1; 1000; 1907
8; 5; 1; 1000; 1568
8; 6; 1; 1000; 1491
8; 7; 1; 1000; 1210
8; 8; 1; 1000; 1059
8; 9; 1; 1000; 916
8; 10; 1; 1000; 898
8; 11; 1; 1000; 838
8; 12; 1; 1000; 853
8; 13; 1; 1000; 863
8; 14; 1; 1000; 825
8; 15; 1; 1000; 853
8; 16; 1; 1000; 761
8; 17; 1; 1000; 803
8; 18; 1; 1000; 1363
8; 19; 1; 1000; 864
8; 20; 1; 1000; 841
9; 1; 1; 1000; 5662
9; 2; 1; 1000; 2804
9; 3; 1; 1000; 1968
9; 4; 1; 1000; 1652
9; 5; 1; 1000; 1609
9; 6; 1; 1000; 1178
9; 7; 1; 1000; 1413
9; 8; 1; 1000; 999
9; 9; 1; 1000; 905
9; 10; 1; 1000; 815
9; 11; 1; 1000; 807
9; 12; 1; 1000; 758
9; 13; 1; 1000; 775
9; 14; 1; 1000; 721
9; 15; 1; 1000; 734
9; 16; 1; 1000; 697
9; 17; 1; 1000; 731
9; 18; 1; 1000; 704
9; 19; 1; 1000; 847
9; 20; 1; 1000; 1241
10; 1; 1; 1000; 4899
10; 2; 1; 1000; 2639
10; 3; 1; 1000; 1746
10; 4; 1; 1000; 1450
10; 5; 1; 1000; 1206
10; 6; 1; 1000; 1038
10; 7; 1; 1000; 1066
10; 8; 1; 1000; 1080
10; 9; 1; 1000; 868
10; 10; 1; 1000; 1299
10; 11; 1; 1000; 1333
10; 12; 1; 1000; 848
10; 13; 1; 1000; 718
10; 14; 1; 1000; 730
10; 15; 1; 1000; 696
10; 16; 1; 1000; 747
10; 17; 1; 1000; 696
10; 18; 1; 1000; 729
10; 19; 1; 1000; 713
10; 20; 1; 1000; 746
11; 1; 1; 1000; 4506
11; 2; 1; 1000; 2348
11; 3; 1; 1000; 1622
11; 4; 1; 1000; 1300
11; 5; 1; 1000; 1140
11; 6; 1; 1000; 972
11; 7; 1; 1000; 881
11; 8; 1; 1000; 812
11; 9; 1; 1000; 798
11; 10; 1; 1000; 764
11; 11; 1; 1000; 721
11; 12; 1; 1000; 737
11; 13; 1; 1000; 1288
11; 14; 1; 1000; 962
11; 15; 1; 1000; 711
11; 16; 1; 1000; 675
11; 17; 1; 1000; 729
11; 18; 1; 1000; 757
11; 19; 1; 1000; 705
11; 20; 1; 1000; 758
12; 1; 1; 1000; 4032
12; 2; 1; 1000; 2096
12; 3; 1; 1000; 1620
12; 4; 1; 1000; 1666
12; 5; 1; 1000; 1088
